headline_id,date,source_type,headline,relevance_to_freshbasket
N01,2026-02-03,Policy,"GST council signals review of select packaged food rates","May change shelf prices on packaged grocery SKUs"
N02,2026-02-07,Competitor,"Quick-commerce player announces 12 new dark stores in South India hubs","Pressure on FreshBasket South clusters for speed and stock"
N03,2026-02-10,Macro,"Urban food inflation cools slightly month-on-month","Private-label and value packs may gain share"
N04,2026-02-12,Industry,"National retail body notes rising shopper shift to smaller pack sizes","Assortment and pack architecture decision for Category"
N05,2026-02-15,Competitor,"BigBasket expands private-label dairy in West metros","Direct rivalry on FreshBasket private-label milk plans"
N06,2026-02-18,Labour,"State labour department clarifies overtime documentation norms for retail","HR / Store Ops compliance risk on Sunday staffing"
N07,2026-02-20,Supply,"Heatwave advisory issued for parts of West and North","Fresh produce shrinkage and cold-chain workload risk"
N08,2026-02-22,Tech,"UPI thrifts and wallet cashback wars intensify among grocery apps","Promo economics and margin risk if FreshBasket matches blindly"
N09,2026-02-25,Industry,"Consumer survey: trust in in-store freshness still beats 10-minute delivery for produce","Differentiation opportunity for FreshBasket stores"
N10,2026-02-27,Competitor,"Local kirana collectives launch weekend milk price matching in Mumbai suburbs","West dairy price gap risk beyond national apps"
N11,2026-03-01,Macro,"Fuel prices edge up — last-mile delivery cost chatter returns","Delivery-heavy rivals may raise fees; store trips may look better"
N12,2026-03-03,Brand,"Social backlash stories rise around grocery apps advertising discounts not honoured at checkout","Promo trust warning aligned with FreshBasket review themes"
