review_id,store_name,region,channel,rating,review_date,theme_hint,review_text
R01,FreshBasket Koramangala,South,Google,2,2026-02-09,Queue,"Waited almost 20 minutes at billing after 6pm. Staff looked understaffed."
R02,FreshBasket Andheri,West,App,2,2026-02-02,Stockout,"Full cream milk empty by noon every Sunday. Very frustrating."
R03,FreshBasket Bandra,West,Google,5,2026-01-28,Freshness,"Produce quality was excellent this week. Tomatoes and bananas were fresh."
R04,FreshBasket Connaught,North,Social,2,2026-02-14,Promo,"Shampoo weekend offer did not apply at the till. Felt like a fake discount."
R05,FreshBasket Salt Lake,East,App,4,2026-02-18,Assortment,"Good dal and atta variety. Found everything I needed."
R06,FreshBasket Indiranagar,South,Google,1,2026-02-21,Stockout,"No tomatoes or bananas on peak Sunday evening. Shelves empty."
R07,FreshBasket Saket,North,App,3,2026-01-22,Price,"Atta feels expensive versus nearby kirana for same brand."
R08,FreshBasket Park Street,East,Social,4,2026-02-11,Staff,"Helpful staff guided me to the dairy aisle quickly."
R09,FreshBasket Koramangala,South,App,2,2026-02-25,Queue,"Another long queue on Sunday evening. Same issue again."
R10,FreshBasket Andheri,West,Google,3,2026-02-27,Promo,"Handwash discount was unclear on shelf tags. Cashier had to call manager."
R11,FreshBasket Bandra,West,App,5,2026-02-05,Freshness,"Best curd quality in the area. Will come again."
R12,FreshBasket Connaught,North,Google,2,2026-02-16,Stockout,"Butter out of stock late evening. Happened twice this month."
R13,FreshBasket Koramangala,South,Google,4,2026-02-08,Staff,"New cashier was polite even when the line was long."
R14,FreshBasket Salt Lake,East,App,2,2026-02-20,Price,"Cola combo looked cheaper on Blinkit for same pack."
R15,FreshBasket Indiranagar,South,Social,1,2026-02-22,Queue,"Billing chaos. Two counters closed during rush hour."
R16,FreshBasket Andheri,West,Google,4,2026-02-12,Assortment,"Personal care range improved. Found herbal shampoo easily."
R17,FreshBasket Saket,North,App,2,2026-02-19,Promo,"Weekend offer banner in app but till price unchanged."
R18,FreshBasket Park Street,East,Google,5,2026-02-15,Freshness,"Vegetables looked freshly loaded in the morning."
R19,FreshBasket Bandra,West,Social,3,2026-02-24,Price,"Milk is slightly higher than BigBasket but store quality is better."
R20,FreshBasket Connaught,North,App,1,2026-02-26,Stockout,"Dairy fridge half empty on Sunday morning again."
R21,FreshBasket Koramangala,South,Google,3,2026-02-10,Price,"Tomatoes cheaper at street vendor but hygiene here is better."
R22,FreshBasket Andheri,West,App,2,2026-02-28,Queue,"Express counter not open during lunch rush."
R23,FreshBasket Salt Lake,East,Google,4,2026-02-17,Staff,"Manager resolved a billing error quickly. Good recovery."
R24,FreshBasket Indiranagar,South,App,2,2026-02-23,Promo,"Buy-one tag on shelf but billed full price for both items."
