Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales,COGS,Profit,Date,Month_Number,Month_Name,Year
Government,Canada,Carretera,,1618.5,3,20,32370.0,0.0,32370.0,16185.0,16185.0,2014-01-01,1,January,2014
Government,Germany,Carretera,,1321.0,3,20,26420.0,0.0,26420.0,13210.0,13210.0,2014-01-01,1,January,2014
Midmarket,France,Carretera,,2178.0,3,15,32670.0,0.0,32670.0,21780.0,10890.0,2014-06-01,6,June,2014
Midmarket,Germany,Carretera,,888.0,3,15,13320.0,0.0,13320.0,8880.0,4440.0,2014-06-01,6,June,2014
Midmarket,Mexico,Carretera,,2470.0,3,15,37050.0,0.0,37050.0,24700.0,12350.0,2014-06-01,6,June,2014
Government,Germany,Carretera,,1513.0,3,350,529550.0,0.0,529550.0,393380.0,136170.0,2014-12-01,12,December,2014
Midmarket,Germany,Montana,,921.0,5,15,13815.0,0.0,13815.0,9210.0,4605.0,2014-03-01,3,March,2014
Channel Partners,Canada,Montana,,2518.0,5,12,30216.0,0.0,30216.0,7554.0,22662.0,2014-06-01,6,June,2014
Government,France,Montana,,1899.0,5,20,37980.0,0.0,37980.0,18990.0,18990.0,2014-06-01,6,June,2014
Channel Partners,Germany,Montana,,1545.0,5,12,18540.0,0.0,18540.0,4635.0,13905.0,2014-06-01,6,June,2014
Midmarket,Mexico,Montana,,2470.0,5,15,37050.0,0.0,37050.0,24700.0,12350.0,2014-06-01,6,June,2014
Enterprise,Canada,Montana,,2665.5,5,125,333187.5,0.0,333187.5,319860.0,13327.5,2014-07-01,7,July,2014
Small Business,Mexico,Montana,,958.0,5,300,287400.0,0.0,287400.0,239500.0,47900.0,2014-08-01,8,August,2014
Government,Germany,Montana,,2146.0,5,7,15022.0,0.0,15022.0,10730.0,4292.0,2014-09-01,9,September,2014
Enterprise,Canada,Montana,,345.0,5,125,43125.0,0.0,43125.0,41400.0,1725.0,2013-10-01,10,October,2013
Midmarket,United States of America,Montana,,615.0,5,15,9225.0,0.0,9225.0,6150.0,3075.0,2014-12-01,12,December,2014
Government,Canada,Paseo,,292.0,10,20,5840.0,0.0,5840.0,2920.0,2920.0,2014-02-01,2,February,2014
Midmarket,Mexico,Paseo,,974.0,10,15,14610.0,0.0,14610.0,9740.0,4870.0,2014-02-01,2,February,2014
Channel Partners,Canada,Paseo,,2518.0,10,12,30216.0,0.0,30216.0,7554.0,22662.0,2014-06-01,6,June,2014
Government,Germany,Paseo,,1006.0,10,350,352100.0,0.0,352100.0,261560.0,90540.0,2014-06-01,6,June,2014
Channel Partners,Germany,Paseo,,367.0,10,12,4404.0,0.0,4404.0,1101.0,3303.0,2014-07-01,7,July,2014
Government,Mexico,Paseo,,883.0,10,7,6181.0,0.0,6181.0,4415.0,1766.0,2014-08-01,8,August,2014
Midmarket,France,Paseo,,549.0,10,15,8235.0,0.0,8235.0,5490.0,2745.0,2013-09-01,9,September,2013
Small Business,Mexico,Paseo,,788.0,10,300,236400.0,0.0,236400.0,197000.0,39400.0,2013-09-01,9,September,2013
Midmarket,Mexico,Paseo,,2472.0,10,15,37080.0,0.0,37080.0,24720.0,12360.0,2014-09-01,9,September,2014
Government,United States of America,Paseo,,1143.0,10,7,8001.0,0.0,8001.0,5715.0,2286.0,2014-10-01,10,October,2014
Government,Canada,Paseo,,1725.0,10,350,603750.0,0.0,603750.0,448500.0,155250.0,2013-11-01,11,November,2013
Channel Partners,United States of America,Paseo,,912.0,10,12,10944.0,0.0,10944.0,2736.0,8208.0,2013-11-01,11,November,2013
Midmarket,Canada,Paseo,,2152.0,10,15,32280.0,0.0,32280.0,21520.0,10760.0,2013-12-01,12,December,2013
Government,Canada,Paseo,,1817.0,10,20,36340.0,0.0,36340.0,18170.0,18170.0,2014-12-01,12,December,2014
Government,Germany,Paseo,,1513.0,10,350,529550.0,0.0,529550.0,393380.0,136170.0,2014-12-01,12,December,2014
Government,Mexico,Velo,,1493.0,120,7,10451.0,0.0,10451.0,7465.0,2986.0,2014-01-01,1,January,2014
Enterprise,France,Velo,,1804.0,120,125,225500.0,0.0,225500.0,216480.0,9020.0,2014-02-01,2,February,2014
Channel Partners,Germany,Velo,,2161.0,120,12,25932.0,0.0,25932.0,6483.0,19449.0,2014-03-01,3,March,2014
Government,Germany,Velo,,1006.0,120,350,352100.0,0.0,352100.0,261560.0,90540.0,2014-06-01,6,June,2014
Channel Partners,Germany,Velo,,1545.0,120,12,18540.0,0.0,18540.0,4635.0,13905.0,2014-06-01,6,June,2014
Enterprise,United States of America,Velo,,2821.0,120,125,352625.0,0.0,352625.0,338520.0,14105.0,2014-08-01,8,August,2014
Enterprise,Canada,Velo,,345.0,120,125,43125.0,0.0,43125.0,41400.0,1725.0,2013-10-01,10,October,2013
Small Business,Canada,VTT,,2001.0,250,300,600300.0,0.0,600300.0,500250.0,100050.0,2014-02-01,2,February,2014
Channel Partners,Germany,VTT,,2838.0,250,12,34056.0,0.0,34056.0,8514.0,25542.0,2014-04-01,4,April,2014
