txn_id,txn_date,store_id,product_id,units_sold,promo_id,revenue,cost,profit
TXN10001,2026-02-10,S05,P06,11,,385,220,165
TXN10002,2026-02-07,S02,P07,4,,352,220,132
TXN10003,2026-02-14,S04,P03,11,,682,528,154
TXN10004,2026-02-11,S03,P03,7,,434,336,98
TXN10005,2026-02-19,S05,P01,6,,348,276,72
TXN10006,2026-01-15,S01,P08,1,PR01,137,120,17
TXN10007,2026-01-02,S02,P10,7,,1155,875,280
TXN10008,2026-02-18,S02,P11,6,,1194,720,474
TXN10009,2026-01-03,S03,P06,1,,35,20,15
TXN10010,2026-02-09,S05,P08,3,PR01,411,360,51
TXN10011,2026-02-01,S03,P09,11,,3080,2310,770
TXN10012,2026-02-09,S03,P04,1,,45,25,20
TXN10013,2026-01-05,S06,P09,12,,3360,2520,840
TXN10014,2026-01-08,S08,P06,12,,420,240,180
TXN10015,2026-01-27,S01,P01,5,,290,230,60
TXN10016,2026-02-25,S08,P01,9,,522,414,108
TXN10017,2026-02-02,S03,P09,3,,840,630,210
TXN10018,2026-02-24,S01,P12,7,,385,224,161
TXN10019,2026-01-19,S05,P05,8,,480,280,200
TXN10020,2026-02-20,S06,P04,6,,270,150,120
TXN10021,2026-01-25,S06,P12,11,,605,352,253
TXN10022,2026-02-12,S05,P04,2,,90,50,40
TXN10023,2026-01-06,S03,P10,11,,1815,1375,440
TXN10024,2026-02-27,S04,P10,2,,330,250,80
TXN10025,2026-01-13,S02,P09,9,,2520,1890,630
TXN10026,2026-01-19,S04,P02,8,,336,240,96
TXN10027,2026-01-19,S02,P08,11,,1771,1320,451
TXN10028,2026-01-21,S04,P02,11,,462,330,132
TXN10029,2026-02-22,S01,P09,8,,2240,1680,560
TXN10030,2026-01-28,S08,P03,8,,496,384,112
TXN10031,2026-02-12,S02,P01,9,,522,414,108
TXN10032,2026-01-13,S03,P05,1,,60,35,25
TXN10033,2026-01-10,S08,P07,12,,1056,660,396
TXN10034,2026-01-23,S02,P07,4,,352,220,132
TXN10035,2026-01-23,S04,P06,9,,315,180,135
TXN10036,2026-01-28,S03,P11,4,,796,480,316
TXN10037,2026-01-14,S05,P07,8,,704,440,264
TXN10038,2026-02-10,S03,P04,4,,180,100,80
TXN10039,2026-01-18,S02,P03,9,,558,432,126
TXN10040,2026-02-05,S01,P04,1,,45,25,20
TXN10041,2026-02-12,S02,P06,5,,175,100,75
TXN10042,2026-01-09,S08,P10,6,,990,750,240
TXN10043,2026-02-23,S07,P07,11,,968,605,363
TXN10044,2026-02-18,S04,P02,8,,336,240,96
TXN10045,2026-02-28,S02,P05,7,,420,245,175
TXN10046,2026-02-14,S04,P11,11,,2189,1320,869
TXN10047,2026-02-01,S01,P01,3,,174,138,36
TXN10048,2026-02-08,S07,P12,10,,550,320,230
TXN10049,2026-01-26,S07,P08,5,,805,600,205
TXN10050,2026-02-08,S06,P05,12,,720,420,300
TXN10051,2026-01-21,S03,P11,2,,398,240,158
TXN10052,2026-02-13,S01,P02,8,,336,240,96
TXN10053,2026-02-12,S08,P11,6,,1194,720,474
TXN10054,2026-01-03,S02,P04,2,,90,50,40
TXN10055,2026-02-13,S03,P06,7,,245,140,105
TXN10056,2026-02-10,S07,P10,3,,495,375,120
TXN10057,2026-01-26,S05,P06,6,,210,120,90
TXN10058,2026-01-09,S04,P04,4,,180,100,80
TXN10059,2026-02-03,S05,P04,7,,315,175,140
TXN10060,2026-01-01,S06,P06,2,,70,40,30
TXN10061,2026-02-21,S02,P12,1,,55,32,23
TXN10062,2026-01-04,S05,P02,10,,420,300,120
TXN10063,2026-02-04,S03,P03,9,,558,432,126
TXN10064,2026-02-10,S01,P12,10,,550,320,230
TXN10065,2026-01-10,S05,P10,7,,1155,875,280
TXN10066,2026-01-15,S01,P02,1,,42,30,12
TXN10067,2026-02-27,S06,P09,7,,1960,1470,490
TXN10068,2026-01-16,S01,P05,5,,300,175,125
TXN10069,2026-02-25,S07,P07,3,,264,165,99
TXN10070,2026-02-21,S08,P04,7,,315,175,140
TXN10071,2026-02-18,S08,P09,7,,1960,1470,490
TXN10072,2026-02-03,S03,P06,10,,350,200,150
TXN10073,2026-02-27,S06,P07,7,,616,385,231
TXN10074,2026-02-08,S08,P10,4,,660,500,160
TXN10075,2026-02-22,S06,P11,5,,995,600,395
TXN10076,2026-01-20,S03,P11,5,,995,600,395
TXN10077,2026-02-21,S05,P11,8,,1592,960,632
TXN10078,2026-02-26,S06,P02,4,,168,120,48
TXN10079,2026-02-16,S04,P04,8,,360,200,160
TXN10080,2026-02-20,S06,P09,3,,840,630,210
TXN10081,2026-01-05,S08,P07,6,,528,330,198
TXN10082,2026-01-24,S04,P11,9,,1791,1080,711
TXN10083,2026-02-02,S04,P08,9,PR01,1233,1080,153
TXN10084,2026-01-22,S02,P02,2,,84,60,24
TXN10085,2026-01-05,S07,P11,9,,1791,1080,711
TXN10086,2026-01-16,S01,P04,9,,405,225,180
TXN10087,2026-02-22,S07,P08,11,PR01,1507,1320,187
TXN10088,2026-01-27,S01,P08,3,PR01,411,360,51
TXN10089,2026-01-28,S03,P09,7,,1960,1470,490
TXN10090,2026-02-24,S01,P10,9,,1485,1125,360
TXN10091,2026-01-20,S01,P01,1,,58,46,12
TXN10092,2026-02-20,S02,P12,7,,385,224,161
TXN10093,2026-02-17,S06,P01,9,,522,414,108
TXN10094,2026-02-01,S04,P03,10,,620,480,140
TXN10095,2026-01-25,S02,P01,10,,580,460,120
TXN10096,2026-01-10,S07,P06,12,,420,240,180
TXN10097,2026-01-12,S02,P07,9,,792,495,297
TXN10098,2026-02-09,S07,P03,2,,124,96,28
TXN10099,2026-02-24,S05,P07,3,,264,165,99
TXN10100,2026-02-26,S05,P09,1,,280,210,70
TXN10101,2026-01-19,S05,P04,1,,45,25,20
TXN10102,2026-02-21,S06,P10,4,,660,500,160
TXN10103,2026-02-01,S04,P03,8,,496,384,112
TXN10104,2026-01-08,S02,P11,2,,398,240,158
