order_id,order_date,store_id,store_name,region,category,product_name,units_sold,unit_price,unit_cost,revenue,cost,profit,promo_flag
FB10001,2026-02-01,S01,FreshBasket Andheri,West,Dairy,Full Cream Milk 1L,1,58,46,58,46,12,No
FB10002,2026-02-03,S02,FreshBasket Bandra,West,Fresh Produce,Tomatoes 1kg,9,45,25,405,225,180,No
FB10003,2026-01-14,S07,FreshBasket Salt Lake,East,Dairy,Curd 400g,8,42,30,336,240,96,No
FB10004,2026-02-04,S02,FreshBasket Bandra,West,Personal Care,Handwash 250ml,12,88,55,1056,660,396,No
FB10005,2026-02-01,S03,FreshBasket Koramangala,South,Dairy,Curd 400g,2,42,30,84,60,24,No
FB10006,2026-02-13,S08,FreshBasket Park Street,East,Dairy,Butter 100g,4,62,48,248,192,56,No
FB10007,2026-02-14,S02,FreshBasket Bandra,West,Fresh Produce,Bananas 1kg,10,60,35,600,350,250,No
FB10008,2026-02-06,S05,FreshBasket Connaught,North,Personal Care,Herbal Shampoo 200ml,11,161,120,1771,1320,451,Yes
FB10009,2026-01-28,S02,FreshBasket Bandra,West,Personal Care,Herbal Shampoo 200ml,10,161,120,1610,1200,410,Yes
FB10010,2026-02-27,S07,FreshBasket Salt Lake,East,Personal Care,Handwash 250ml,1,88,55,88,55,33,No
FB10011,2026-01-17,S06,FreshBasket Saket,North,Fresh Produce,Onions 1kg,12,35,20,420,240,180,No
FB10012,2026-01-05,S01,FreshBasket Andheri,West,Dairy,Butter 100g,7,62,48,434,336,98,No
FB10013,2026-02-24,S02,FreshBasket Bandra,West,Fresh Produce,Onions 1kg,2,35,20,70,40,30,No
FB10014,2026-01-16,S08,FreshBasket Park Street,East,Fresh Produce,Tomatoes 1kg,3,45,25,135,75,60,No
FB10015,2026-02-23,S07,FreshBasket Salt Lake,East,Dairy,Butter 100g,3,62,48,186,144,42,No
FB10016,2026-02-28,S01,FreshBasket Andheri,West,Beverages,Orange Juice 1L,7,120,85,840,595,245,No
FB10017,2026-01-15,S04,FreshBasket Indiranagar,South,Dairy,Full Cream Milk 1L,7,58,46,406,322,84,No
FB10018,2026-01-09,S03,FreshBasket Koramangala,South,Fresh Produce,Apples 1kg,5,180,130,900,650,250,No
FB10019,2026-02-06,S01,FreshBasket Andheri,West,Fresh Produce,Onions 1kg,3,35,20,105,60,45,No
FB10020,2026-01-19,S06,FreshBasket Saket,North,Beverages,Orange Juice 1L,1,120,85,120,85,35,No
FB10021,2026-02-28,S08,FreshBasket Park Street,East,Grocery,Atta 5kg,5,260,210,1300,1050,250,No
FB10022,2026-01-05,S05,FreshBasket Connaught,North,Grocery,Atta 5kg,1,260,210,260,210,50,No
FB10023,2026-02-25,S04,FreshBasket Indiranagar,South,Fresh Produce,Bananas 1kg,11,60,35,660,385,275,No
FB10024,2026-01-07,S02,FreshBasket Bandra,West,Fresh Produce,Onions 1kg,3,35,20,105,60,45,No
FB10025,2026-01-05,S02,FreshBasket Bandra,West,Grocery,Basmati Rice 1kg,2,145,110,290,220,70,No
FB10026,2026-02-05,S02,FreshBasket Bandra,West,Beverages,Orange Juice 1L,8,120,85,960,680,280,No
FB10027,2026-02-24,S07,FreshBasket Salt Lake,East,Dairy,Butter 100g,2,62,48,124,96,28,No
FB10028,2026-01-20,S01,FreshBasket Andheri,West,Dairy,Butter 100g,3,62,48,186,144,42,No
FB10029,2026-02-01,S08,FreshBasket Park Street,East,Grocery,Toor Dal 1kg,2,168,130,336,260,76,No
FB10030,2026-02-08,S07,FreshBasket Salt Lake,East,Dairy,Curd 400g,10,42,30,420,300,120,No
FB10031,2026-02-06,S08,FreshBasket Park Street,East,Dairy,Butter 100g,2,62,48,124,96,28,No
FB10032,2026-01-01,S02,FreshBasket Bandra,West,Dairy,Butter 100g,9,62,48,558,432,126,No
FB10033,2026-01-14,S08,FreshBasket Park Street,East,Fresh Produce,Bananas 1kg,6,60,35,360,210,150,No
FB10034,2026-02-13,S08,FreshBasket Park Street,East,Dairy,Paneer 200g,5,95,70,475,350,125,No
FB10035,2026-01-27,S03,FreshBasket Koramangala,South,Grocery,Basmati Rice 1kg,1,145,110,145,110,35,No
FB10036,2026-01-08,S06,FreshBasket Saket,North,Fresh Produce,Tomatoes 1kg,5,45,25,225,125,100,No
FB10037,2026-02-15,S02,FreshBasket Bandra,West,Dairy,Paneer 200g,7,95,70,665,490,175,No
